chord,periodicity.stolz_smooth_t2_log,omega.stolz_smooth_t2,gradus.euler_smooth_t2,similarity.gill_purves_smooth_t2
"{0,1,5,9,10}",5.775,9.400,18.600,0.357222
"{0,1,3,5,6}",5.785,9.200,19.000,0.307540
"{0,4,5,7,8}",5.790,9.600,18.800,0.340556
"{0,1,3,4,9}",5.790,9.800,20.800,0.311984
"{0,5,7,8,9}",5.790,9.800,18.400,0.336111
"{0,2,3,5,9}",5.793,8.600,19.200,0.358373
"{0,2,5,8,9}",5.793,9.000,19.400,0.366151
"{0,2,8,9,10}",5.793,10.400,21.200,0.303095
"{0,1,7,8,10}",5.805,9.000,18.800,0.350873
"{0,3,8,9,10}",5.805,10.200,21.800,0.334206
"{0,3,4,7,9}",5.809,8.600,19.000,0.376151
"{0,2,3,7,11}",5.809,9.400,18.600,0.359722
"{0,4,6,9,11}",5.811,8.400,18.400,0.380873
"{0,2,8,9,11}",5.812,9.800,21.600,0.330040
"{0,2,3,6,11}",5.823,9.600,20.600,0.317817
"{0,4,6,7,10}",5.823,9.800,22.600,0.339802
"{0,2,4,10,11}",5.831,10.000,20.800,0.318929
"{0,1,5,6,9}",5.838,9.400,20.000,0.346429
"{0,4,5,8,9}",5.843,8.800,16.800,0.355000
"{0,1,4,7,8}",5.854,9.200,19.800,0.366429
"{0,2,6,8,9}",5.857,10.000,22.800,0.336468
"{0,1,4,9,11}",5.861,9.400,18.000,0.348611
"{0,3,8,9,11}",5.873,9.800,20.800,0.307817
"{0,1,3,9,11}",5.873,10.400,21.800,0.275595
"{0,3,6,10,11}",5.887,9.600,20.000,0.344484
"{0,3,7,9,11}",5.892,9.000,19.600,0.350873
"{0,2,7,10,11}",5.895,9.400,18.800,0.348611
"{0,1,4,8,9}",5.907,8.600,16.600,0.361667
"{0,1,4,6,10}",5.921,10.000,22.800,0.336468
"{0,1,3,9,10}",5.922,10.000,21.800,0.330873
"{0,3,4,5,9}",5.926,9.600,20.000,0.338651
"{0,3,5,6,8}",5.933,9.000,19.600,0.318373
"{0,6,7,8,11}",5.936,10.400,20.800,0.316984
"{0,3,5,8,11}",5.937,9.200,19.600,0.331984
"{0,1,3,4,7}",5.937,9.600,20.600,0.325317
"{0,3,7,8,9}",5.937,9.600,20.000,0.345317
"{0,1,4,7,10}",5.941,9.200,22.600,0.357579
"{0,3,4,9,11}",5.944,9.000,19.400,0.351151
"{0,2,3,6,8}",5.951,10.200,23.000,0.306468
